bmf15;bmf37;bmf81;bmf101;bmf164;bmf189;bmf215;bmf232;bmf283;bmf306;bmf328;bmf370;bmf450;bmf467;bmf525;bmf697;bmf735;bmf774;bmf847;bmf860;bmf862;bmf873;bmf968;bmf983;exp
False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True
False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True
True;False;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
True;False;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True;True;True
False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True
True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True;True;True
False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True
True;False;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True;True;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True
True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;True;False;False;True;False;False;True;True;False;False;True;False;False;False;False;False;True;True;True;False;False;True;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True
True;False;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True;True;True
True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;True
False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
True;False;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True;True;True
